[2024-04-17 12:45:35][Debug] Driver init
[2024-04-17 12:45:36][Event] =MRA Crawler ver1.0=
[2024-04-17 12:45:42][Debug] Get *https://www.mrashop.de/com/model-based-products/* page
[2024-04-17 12:47:51][Debug] Brand : YAMAHA, Model : V-MAX 1200, Year : BJ 96-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1200/bj-96/
[2024-04-17 12:47:53][Debug] Brand : YAMAHA, Model : V-MAX 1700, Year : BJ 08-, Value : https://www.mrashop.de/com/model-based-products/yamaha/v-max-1700/bj-08/
[2024-04-17 12:47:55][Debug] Brand : YAMAHA, Model : X-City 125/250, Year : BJ 07-, Value : https://www.mrashop.de/com/model-based-products/yamaha/x-city-125250/bj-07/
[2024-04-17 12:47:57][Debug] Brand : YAMAHA, Model : X-Max 125/250, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/x-max-125250/alle-bj/
[2024-04-17 12:47:59][Debug] Brand : YAMAHA, Model : XJ 6, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-6/alle-bj/
[2024-04-17 12:48:01][Debug] Brand : YAMAHA, Model : XJ 6 DIVERSION, Year : BJ 09-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-6-diversion/bj-09/
[2024-04-17 12:48:04][Debug] Brand : YAMAHA, Model : XJ 6 DIVERSION F, Year : BJ 10-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-6-diversion-f/bj-10/
[2024-04-17 12:48:06][Debug] Brand : YAMAHA, Model : XJ 600 F, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-600-f/alle-bj/
[2024-04-17 12:48:08][Debug] Brand : YAMAHA, Model : XJ 600 N, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-600-n/alle-bj/
[2024-04-17 12:48:10][Debug] Brand : YAMAHA, Model : XJ 600 S, Year : BJ 96-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-600-s/bj-96/
[2024-04-17 12:48:10][Debug] Brand : YAMAHA, Model : XJ 600 S, Year : BJ 93-95, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-600-s/bj-93-95/
[2024-04-17 12:48:13][Debug] Brand : YAMAHA, Model : XJ 650 N, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-650-n/alle-bj/
[2024-04-17 12:48:15][Debug] Brand : YAMAHA, Model : XJ 750 F, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-750-f/alle-bj/
[2024-04-17 12:48:17][Debug] Brand : YAMAHA, Model : XJ 750 N, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-750-n/alle-bj/
[2024-04-17 12:48:19][Debug] Brand : YAMAHA, Model : XJ 900, Year : BJ 83-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-900/bj-83/
[2024-04-17 12:48:19][Debug] Brand : YAMAHA, Model : XJ 900, Year : BJ 85-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-900/bj-85/
[2024-04-17 12:48:22][Debug] Brand : YAMAHA, Model : XJ 900 F, Year : BJ 85-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-900-f/bj-85/
[2024-04-17 12:48:24][Debug] Brand : YAMAHA, Model : XJ 900 S, Year : BJ 95-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xj-900-s/bj-95/
[2024-04-17 12:48:26][Debug] Brand : YAMAHA, Model : XJR 1200, Year : BJ -01, Value : https://www.mrashop.de/com/model-based-products/yamaha/xjr-1200/bj-01/
[2024-04-17 12:48:28][Debug] Brand : YAMAHA, Model : XJR 1200 NakedBike, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xjr-1200-nakedbike/alle-bj/
[2024-04-17 12:48:31][Debug] Brand : YAMAHA, Model : XJR 1300, Year : BJ -01, Value : https://www.mrashop.de/com/model-based-products/yamaha/xjr-1300/bj-01/
[2024-04-17 12:48:31][Debug] Brand : YAMAHA, Model : XJR 1300, Year : BJ 02-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xjr-1300/bj-02/
[2024-04-17 12:48:33][Debug] Brand : YAMAHA, Model : XJR 1300 / SP NakedBike, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xjr-1300-sp-nakedbike/alle-bj/
[2024-04-17 12:48:33][Debug] Brand : YAMAHA, Model : XJR 1300 / SP NakedBike, Year : BJ 07-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xjr-1300-sp-nakedbike/bj-07/
[2024-04-17 12:48:36][Debug] Brand : YAMAHA, Model : XS 400, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xs-400/alle-bj/
[2024-04-17 12:48:38][Debug] Brand : YAMAHA, Model : XS 650, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xs-650/alle-bj/
[2024-04-17 12:48:40][Debug] Brand : YAMAHA, Model : XS 850, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xs-850/alle-bj/
[2024-04-17 12:48:42][Debug] Brand : YAMAHA, Model : XSR 700, Year : BJ -21, Value : https://www.mrashop.de/com/model-based-products/yamaha/xsr-700/bj-21/
[2024-04-17 12:48:44][Debug] Brand : YAMAHA, Model : XSR 900, Year : BJ -16, Value : https://www.mrashop.de/com/model-based-products/yamaha/xsr-900/bj-16/
[2024-04-17 12:48:46][Debug] Brand : YAMAHA, Model : XT 125, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-125/alle-bj/
[2024-04-17 12:48:49][Debug] Brand : YAMAHA, Model : XT 500, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-500/alle-bj/
[2024-04-17 12:48:51][Debug] Brand : YAMAHA, Model : XT 600 E, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-600-e/alle-bj/
[2024-04-17 12:48:53][Debug] Brand : YAMAHA, Model : XT 600 Z Ténéré, Year : BJ 88-90, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-600-z-tenere/bj-88-90/
[2024-04-17 12:48:55][Debug] Brand : YAMAHA, Model : XT 1200 Z /ZE, Year : BJ 10-13, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-1200-z-ze/bj-10-13/
[2024-04-17 12:48:55][Debug] Brand : YAMAHA, Model : XT 1200 Z /ZE, Year : BJ 14-, Value : https://www.mrashop.de/com/cat/index/sCategory/90005921
[2024-04-17 12:48:55][Debug] Brand : YAMAHA, Model : XT 1200 Z /ZE, Year : BJ 14-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-1200-z-ze/bj-14/
[2024-04-17 12:48:57][Debug] Brand : YAMAHA, Model : XT 660 R, Year : BJ 04-, Value : https://www.mrashop.de/com/model-based-products/yamaha/xt-660-r/bj-04/
[2024-04-17 12:48:59][Debug] Brand : YAMAHA, Model : XTZ 660, Year : BJ 91-99, Value : https://www.mrashop.de/com/model-based-products/yamaha/xtz-660/bj-91-99/
[2024-04-17 12:49:01][Debug] Brand : YAMAHA, Model : XTZ 750 Super Ténéré, Year : alle BJ, Value : https://www.mrashop.de/com/model-based-products/yamaha/xtz-750-super-tenere/alle-bj/
